CMDLINE /home/farid/projects/test-mem-prof/.venv/bin/python3 main.py
MEM 0.527344 1726086647.3530
MEM 27.429688 1726086647.4533
MEM 34.289062 1726086647.5535
MEM 40.277344 1726086647.6538
MEM 114.886719 1726086647.7542
MEM 232.074219 1726086647.8545
MEM 280.285156 1726086647.9549
MEM 291.152344 1726086648.0552
MEM 303.269531 1726086648.1555
MEM 315.097656 1726086648.2559
MEM 325.371094 1726086648.3561
MEM 344.804688 1726086648.4565
MEM 350.984375 1726086648.5568
MEM 368.378906 1726086648.6571
MEM 386.625000 1726086648.7574
MEM 394.421875 1726086648.8577
MEM 400.164062 1726086648.9580
MEM 421.632812 1726086649.0583
MEM 425.792969 1726086649.1586
MEM 425.792969 1726086649.2590
MEM 425.792969 1726086649.3593
MEM 425.792969 1726086649.4596
MEM 425.792969 1726086649.5599
MEM 425.792969 1726086649.6602
MEM 425.792969 1726086649.7605
MEM 425.792969 1726086649.8609
MEM 425.792969 1726086649.9612
MEM 425.792969 1726086650.0615
MEM 425.792969 1726086650.1619
MEM 425.792969 1726086650.2622
MEM 425.792969 1726086650.3625
MEM 425.792969 1726086650.4629
MEM 425.792969 1726086650.5631
MEM 425.792969 1726086650.6634
MEM 425.792969 1726086650.7637
MEM 425.792969 1726086650.8640
MEM 425.792969 1726086650.9643
MEM 425.792969 1726086651.0646
MEM 425.792969 1726086651.1649
MEM 425.792969 1726086651.2653
MEM 426.519531 1726086651.3656
MEM 431.820312 1726086651.4659
MEM 431.820312 1726086651.5662
MEM 431.820312 1726086651.6665
MEM 431.820312 1726086651.7668
MEM 431.820312 1726086651.8672
MEM 431.820312 1726086651.9675
MEM 431.820312 1726086652.0678
MEM 433.820312 1726086652.1681
MEM 432.000000 1726086652.2684
MEM 432.000000 1726086652.3688
MEM 432.000000 1726086652.4691
MEM 432.000000 1726086652.5695
MEM 432.000000 1726086652.6698
MEM 432.000000 1726086652.7701
MEM 432.000000 1726086652.8704
MEM 432.164062 1726086652.9707
MEM 432.164062 1726086653.0710
MEM 432.164062 1726086653.1713
MEM 432.164062 1726086653.2716
MEM 432.164062 1726086653.3720
MEM 432.164062 1726086653.4723
MEM 432.214844 1726086653.5726
MEM 432.214844 1726086653.6729
MEM 432.214844 1726086653.7733
MEM 432.214844 1726086653.8737
MEM 432.214844 1726086653.9740
MEM 432.214844 1726086654.0743
MEM 432.214844 1726086654.1747
MEM 432.222656 1726086654.2750
MEM 432.222656 1726086654.3753
MEM 432.222656 1726086654.4756
MEM 432.222656 1726086654.5759
MEM 432.222656 1726086654.6762
MEM 432.222656 1726086654.7765
MEM 432.222656 1726086654.8768
MEM 432.250000 1726086654.9771
MEM 432.250000 1726086655.0774
MEM 432.250000 1726086655.1777
MEM 432.250000 1726086655.2780
MEM 432.250000 1726086655.3783
MEM 432.250000 1726086655.4787
MEM 432.250000 1726086655.5790
MEM 432.250000 1726086655.6793
MEM 432.250000 1726086655.7796
MEM 432.250000 1726086655.8800
MEM 432.250000 1726086655.9803
MEM 432.250000 1726086656.0806
MEM 432.250000 1726086656.1809
MEM 432.250000 1726086656.2812
MEM 432.250000 1726086656.3816
MEM 432.250000 1726086656.4819
MEM 432.250000 1726086656.5823
MEM 432.250000 1726086656.6826
MEM 432.250000 1726086656.7830
MEM 432.250000 1726086656.8833
MEM 432.250000 1726086656.9835
MEM 432.250000 1726086657.0838
MEM 432.250000 1726086657.1841
MEM 432.250000 1726086657.2844
MEM 432.250000 1726086657.3849
MEM 432.250000 1726086657.4852
MEM 432.250000 1726086657.5856
MEM 432.250000 1726086657.6859
MEM 432.250000 1726086657.7862
MEM 432.250000 1726086657.8864
MEM 432.250000 1726086657.9867
MEM 432.250000 1726086658.0869
MEM 432.250000 1726086658.1874
MEM 432.250000 1726086658.2877
MEM 432.250000 1726086658.3880
MEM 432.250000 1726086658.4883
