CMDLINE python main.py
MEM 0.535156 1726230135.8137
MEM 31.175781 1726230135.9140
MEM 34.242188 1726230136.0144
MEM 42.730469 1726230136.1146
MEM 114.968750 1726230136.2153
MEM 260.894531 1726230136.3156
MEM 279.675781 1726230136.4159
MEM 291.460938 1726230136.5161
MEM 305.488281 1726230136.6165
MEM 316.871094 1726230136.7168
MEM 330.257812 1726230136.8171
MEM 348.488281 1726230136.9174
MEM 353.875000 1726230137.0177
MEM 369.835938 1726230137.1180
MEM 376.519531 1726230137.2182
MEM 385.949219 1726230137.3186
MEM 404.882812 1726230137.4189
MEM 409.570312 1726230137.5192
MEM 409.570312 1726230137.6196
MEM 409.570312 1726230137.7199
MEM 409.570312 1726230137.8202
MEM 409.570312 1726230137.9205
MEM 409.570312 1726230138.0207
MEM 409.570312 1726230138.1209
MEM 409.570312 1726230138.2212
MEM 409.570312 1726230138.3214
MEM 409.570312 1726230138.4218
MEM 409.570312 1726230138.5220
MEM 409.570312 1726230138.6223
MEM 409.570312 1726230138.7226
MEM 409.570312 1726230138.8228
MEM 409.570312 1726230138.9232
MEM 409.570312 1726230139.0235
MEM 409.570312 1726230139.1239
MEM 409.570312 1726230139.2242
MEM 409.570312 1726230139.3245
MEM 409.570312 1726230139.4248
MEM 409.570312 1726230139.5252
MEM 409.570312 1726230139.6255
MEM 409.570312 1726230139.7258
MEM 409.570312 1726230139.8261
MEM 409.570312 1726230139.9264
MEM 409.570312 1726230140.0268
MEM 409.570312 1726230140.1270
MEM 409.570312 1726230140.2273
MEM 409.570312 1726230140.3276
MEM 409.570312 1726230140.4279
MEM 409.570312 1726230140.5282
MEM 409.570312 1726230140.6285
MEM 409.570312 1726230140.7288
MEM 409.570312 1726230140.8290
MEM 409.570312 1726230140.9299
MEM 409.570312 1726230141.0302
MEM 409.570312 1726230141.1305
MEM 409.570312 1726230141.2308
MEM 409.570312 1726230141.3311
MEM 409.570312 1726230141.4315
MEM 409.570312 1726230141.5317
MEM 409.570312 1726230141.6320
MEM 409.570312 1726230141.7323
MEM 409.570312 1726230141.8326
MEM 409.570312 1726230141.9329
MEM 409.570312 1726230142.0332
MEM 409.570312 1726230142.1335
MEM 409.570312 1726230142.2338
MEM 409.570312 1726230142.3340
MEM 409.570312 1726230142.4344
MEM 409.570312 1726230142.5347
MEM 409.570312 1726230142.6352
MEM 409.570312 1726230142.7355
MEM 409.570312 1726230142.8357
MEM 409.570312 1726230142.9360
MEM 409.570312 1726230143.0363
MEM 409.570312 1726230143.1366
MEM 409.570312 1726230143.2369
MEM 409.570312 1726230143.3372
MEM 409.570312 1726230143.4375
MEM 409.570312 1726230143.5378
MEM 409.570312 1726230143.6380
MEM 409.570312 1726230143.7383
MEM 409.570312 1726230143.8386
MEM 409.570312 1726230143.9389
MEM 409.570312 1726230144.0392
MEM 409.570312 1726230144.1395
MEM 409.570312 1726230144.2398
MEM 409.570312 1726230144.3401
MEM 409.570312 1726230144.4404
MEM 409.570312 1726230144.5407
MEM 409.570312 1726230144.6410
MEM 409.570312 1726230144.7412
MEM 409.570312 1726230144.8416
MEM 409.570312 1726230144.9419
MEM 409.570312 1726230145.0422
MEM 409.570312 1726230145.1425
MEM 409.570312 1726230145.2428
MEM 409.570312 1726230145.3431
MEM 409.570312 1726230145.4433
MEM 409.570312 1726230145.5436
MEM 409.570312 1726230145.6439
MEM 409.570312 1726230145.7442
MEM 409.570312 1726230145.8445
